Symbol,ProductDiver,Internationalisation (Percenatage of Oversea Sales),Year,BigDataCapability,SybolYear,FrontierIDYear,Operational Efficiency_2015,Operational Efficiency_2016,Grant Invention Patent,Customer Concentration,Supplier Concentration,Environmental Munificence,Environmental Instability,Complexity,Firm Income(Sales),LnFirm Income,Return on Assests(A),Return on Assets(B),R&D Expenditure,LnR&Dexpenditure,R&D Intensity,OperationalCost,LnOperational Cost,FirmSize,LnFirmSize,FirmAge,CapitalExpenditure,OperationalIncome,GIndstruyCode,SIndustryode,EstablishYear
2130,1.148018868,0.148546,2015,3,21302015,2292015,0.83265742,0.84648094,22,11.34,33.24,1.38,0.001673351,-0.93,"¾1,125,643,622.78",20.84162082,0.154377,0.179108,73676314.01,7.86732789,0.045439318,"$1,621,422,082.00",21.20656943,4032,3.605520523,11,148132695.4,1125643623,5,39,2004
300090,1.63309965,#N/A,2015,1,3000902015,7062015,0.852834,0.81636462,1,12.17,11.51,1.85,0.018339586,#N/A,"¾1,144,199,138.23",20.85797079,0.062193,0.082606,32046279.58,7.505777617,0.019536543,"$1,640,325,013.00",21.21816024,1791,3.253095586,18,1373186196,1144199138,5,34,1997
300018,1.148962928,#N/A,2015,4,3000182015,6562015,0.49463307,0.4500073,8,14.91,28.77,2.28,0.687202051,-0.7,"¾105,793,192.77",18.47699673,0.048551,0.062209,41591973.94,7.619009532,0.153497932,"$270,961,136.00",19.41748596,772,2.8876173,14,21045054.66,105793192.8,5,38,2001
300134,0.63045064,0.2997,2015,3,3001342015,7392015,0.91893859,0.91074517,27,79.06,18.06,1.38,0.001673351,-0.93,"¾1,619,449,534.55",21.20535213,0.022494,0.02505,147296068.6,8.168191156,0.071476561,"$2,060,760,425.00",21.44634089,6500,3.812913357,6,395496785.3,1619449535,5,39,2009
300222,1.615394679,#N/A,2015,1,3002222015,8112015,0.6745878,0.73051643,1,21.7,17.91,2.28,0.687202051,-0.7,"¾482,068,670.55",19.99359713,0.069221,0.076863,72438616.54,7.859970147,0.084438482,"$857,886,299.80",20.56998213,1352,3.130976692,13,39398325.4,482068670.6,5,38,2002
300274,0.822154552,0.05683,2015,4,3002742015,8442015,0.84563847,0.84786885,26,24.44,25.96,2.28,0.687202051,-0.7,"¾3,486,392,815.42",21.97213346,0.062819,0.073074,146877002.5,8.166953801,0.032144683,"$4,569,247,183.00",22.2426143,1478,3.169674434,18,252115728.5,3486392815,5,38,1997
600870,0,#N/A,2015,2,6008702015,12582015,0.93607046,0.94924713,1,52.28,91.26,1.38,0.001673351,#N/A,"¾203,608,248.79",19.13170836,0.392863,0.298402,#N/A,#N/A,#N/A,"$216,772,844.40",19.19436056,18,1.255272505,20,19463.78,203608248.8,5,39,1995
600990,1.233947705,#N/A,2015,2,6009902015,12802015,0.93044704,0.93645101,2,33.2,22.35,1.38,0.001673351,-0.93,"¾2,136,537,686.12",21.48245245,0.037076,0.040636,123556275,8.091864807,0.049459335,"$2,498,138,626.00",21.63881174,2083,3.31868927,15,100952169.6,2136537686,5,39,2000
601179,0.897777439,#N/A,2015,2,6011792015,13022015,0.80105387,0.7705168,34,56.77,14.6,2.28,0.687202051,-0.7,"¾9,629,747,019.70",22.98812279,0.027716,0.028438,492322976.6,8.692250105,0.037569197,"$13,104,431,840.00",23.29621632,14249,4.153784386,7,325312340.5,9629747020,5,38,2008
913,0.788677346,0.2891,2015,1,9132015,1122015,0.91642406,0.90175278,5,32.25,8.96,7.68,0.901011801,#N/A,"¾1,733,527,786.00",21.27342435,-0.045124,-0.043808,140608766.1,8.148012397,0.065726066,"$2,139,315,109.00",21.48375157,5052,3.703463342,16,71793926.83,1733527786,5,37,1999
